,ID,GC
484,Capra_pyrenaica,39.6
485,Dasypus_kappleri,41.3
486,Leggadina_lakedownensis,36.6
487,Pseudorca_crassidens,38.9
488,Myodes_regulus,40.3
489,Eothenomys_melanogaster,40.5
490,Propithecus_diadema,40.3
491,Panthera_leo_persica,40.9
492,Grampus_griseus,39.1
493,Rattus_tiomanicus,38.0
494,Leopoldamys_edwardsi,39.3
495,Mus_famulus,36.2
496,Niviventer_fulvescens,36.6
497,Cyclopes_didactylus,36.8
498,Cervus_canadensis_songaricus,37.9
499,Okapia_johnstoni,41.4
500,Varecia_variegata_variegata,38.1
501,Semnopithecus_entellus,39.0
502,Petaurista_alborufus,39.6
503,Bubalus_bubalis,40.7
504,Dicerorhinus_sumatrensis,41.5
505,Macaca_leonina,42.8
506,Sminthopsis_douglasi,39.9
507,Mustela_altaica,39.7
508,Macrotis_lagotis,34.6
509,Cervus_nippon_hortulorum,38.0
510,Marmota_himalayana,36.5
511,Pteropus_scapulatus,41.3
512,Viverricula_indica,37.9
513,Equus_kiang,41.7
514,Mystacina_tuberculata,39.9
515,Hyaena_hyaena,42.1
516,Cephalophus_dorsalis,39.9
517,Pseudoryx_nghetinhensis,38.3
518,Loxodonta_cyclotis,38.2
519,Cynomys_leucurus,37.0
520,Spermophilus_dauricus,36.9
521,Lepus_granatensis,39.2
522,Microtus_kikuchii,41.3
523,Papio_papio,43.7
524,Hylopetes_phayrei,37.4
525,Eozapus_setchuanus,38.6
526,Lobodon_carcinophaga,39.9
527,Rhinoceros_sondaicus,40.1
528,Cephalorhynchus_heavisidii,39.4
529,Delphinus_capensis,38.6
530,Feresa_attenuata,39.0
531,Peponocephala_electra,39.1
532,Sousa_chinensis,38.9
533,Vespertilio_sinensis,37.7
534,Pipistrellus_abramus,36.3
535,Apodemus_peninsulae,34.8
536,Urotrichus_talpoides,37.4
537,Akodon_montensis,40.0
538,Muntiacus_vuquangensis,37.7
539,Elaphodus_cephalophus,37.4
540,Myotis_brandtii,38.3
541,Mogera_robusta,35.7
542,Lepus_sinensis,39.4
543,Pseudois_schaeferi,40.2
544,Lipotes_vexillifer,39.2
545,Sylvicapra_grimmia,39.9
546,Aotus_azarai_azarai,38.6
547,Avahi_laniger,42.2
548,Trachypithecus_cristatus,39.0
549,Pteropus_dasymallus,41.6
550,Anourosorex_squamipes,34.7
551,Cephalophus_adersi,39.7
552,Cephalophus_callipygus,40.1
553,Cephalophus_jentinki,39.4
554,Cephalophus_nigrifrons,40.6
555,Cephalophus_ogilbyi,40.2
556,Cephalophus_rufilatus,40.7
557,Cephalophus_spadix,39.7
558,Apodemus_chevrieri,36.5
559,Apodemus_draco,36.2
560,Ochotona_curzoniae,43.1
561,Pteropus_vampyrus,41.5
562,Nannospalax_judaei,38.8
563,Ochotona_collaris,43.5
564,Rhinophylla_pumilio,38.7
565,Arctonyx_collaris,38.4
566,Dama_mesopotamica,37.0
567,Manis_pentadactyla,43.8
568,Euphractus_sexcinctus,40.1
569,Condylura_cristata,35.8
570,Chalinolobus_tuberculatus,37.7
571,Myospalax_psilurus,37.5
572,Rhizomys_sinensis,36.9
573,Eospalax_rothschildi,35.4
574,Micronycteris_megalotis,42.8
575,Vampyrum_spectrum,45.7
576,Episoriculus_fumidus,36.5
577,Cervus_nippon_centralis,38.0
578,Myotis_ikonnikovi,35.6
579,Procapra_przewalskii,37.6
580,Procapra_gutturosa,37.7
581,Myotis_muricola,36.7
582,Sus_verrucosus,39.0
583,Rhinolophus_pumilus,42.6
584,Eubalaena_australis,41.2
585,Arctocephalus_townsendi,41.1
586,Neophoca_cinerea,41.0
587,Echinosorex_gymnura,33.0
588,Cervus_nippon_sichuanicus,38.1
589,Pudu_puda,36.5
590,Spalax_carmeli,38.7
591,Echymipera_rufescens_australis,33.6
592,Piliocolobus_badius,38.8
593,Trachypithecus_pileatus,39.0
594,Crocidura_lasiura,35.9
595,Crocidura_attenuata,35.4
596,Rhinolophus_monoceros,42.8
597,Simias_concolor,39.1
598,Tonatia_saurophila,40.0
599,Sapajus_xanthosternos,39.2
600,Phalanger_vestitus,40.0
601,Uropsilus_soricipes,35.6
602,Crocidura_shantungensis,34.7
603,Zaedyus_pichiy,40.1
604,Tolypeutes_matacus,41.0
605,Tolypeutes_tricinctus,41.3
606,Priodontes_maximus,44.4
607,Chrysochloris_asiatica,36.6
608,Megaladapis_edwardsi,39.0
609,Mus_fragilicauda,36.6
610,Hipposideros_armiger,41.9
611,Myotis_macrodactylus,36.0
612,Murina_leucogaster,39.7
613,Murina_ussuriensis,37.2
614,Rhinolophus_rex,43.7
615,Neophocaena_asiaeorientalis,40.6
616,Coendou_insidiosus,35.3
617,Meles_anakuma,38.9
618,Nannospalax_golani,38.2
619,Lynx_pardinus,41.0
620,Thylamys_elegans,37.1
621,Rhinolophus_macrotis,43.5
622,Chiropotes_albinasus,38.5
623,Galemys_pyrenaicus,36.7
624,Plecturocebus_cupreus,39.3
625,Melogale_moschata,41.5
626,Genetta_servalina,38.9
627,Mungotictis_decemlineata,42.3
628,Prionodon_pardicolor,38.9
629,Papio_kindae,43.6
630,Cheracebus_lugens,38.8
631,Myospalax_aspalax,37.3
632,Apodemus_latronum,35.9
633,Hemiechinus_auritus,30.9
634,Pseudomys_chapmani,36.0
635,Coelodonta_antiquitatis,40.2
636,Cervus_nippon_yesoensis,38.0
637,Rhinopithecus_brelichi,38.4
638,Myotis_davidii,36.3
639,Myotis_formosus,36.1
640,Tlacuatzin_canescens,33.0
641,Dremomys_rufigenis,39.1
642,Exilisciurus_exilis,40.1
643,Lariscus_insignis,38.7
644,Tamiops_swinhoei,38.7
645,Ratufa_bicolor,39.7
646,Bradypus_torquatus,41.9
647,Plecturocebus_donacophilus,40.1
648,Plecotus_macrobullaris,37.4
649,Canis_lupus_chanco,39.7
650,Blastocerus_dichotomus,35.0
651,Niviventer_confucianus,37.4
652,Panthera_tigris_amoyensis,41.2
653,Mus_terricolor,36.3
654,Petaurista_hainana,39.6
655,Balaenoptera_omurai,40.7
656,Balaenoptera_brydei,40.3
657,Muntiacus_reevesi_micrurus,37.8
658,Lepus_coreanus,38.8
659,Lasiurus_borealis,36.0
660,Pipistrellus_coromandra,35.8
661,Eothenomys_miletus,41.0
662,Nycticebus_bengalensis,40.8
663,Meriones_meridianus,37.4
664,Ursus_thibetanus_mupinensis,40.8
665,Ursus_thibetanus_ussuricus,41.0
666,Lophostoma_silvicolum,41.9
667,Bison_priscus,39.1
668,Nectogale_elegans,35.3
669,Episoriculus_macrurus,36.1
670,Sorex_cylindricauda,36.6
671,Trachypithecus_germaini,38.7
672,Mesoplodon_ginkgodens,37.9
673,Mustela_kathiah,38.9
674,Sus_celebensis,39.3
675,Potamochoerus_porcus,39.5
676,Lepus_hainanus,39.5
677,Chiropotes_israelita,38.3
678,Pteronotus_rubiginosus,40.8
679,Lepus_tolai,38.9
680,Meriones_libycus,38.4
681,Loris_lydekkerianus,39.2
682,Prionailurus_bengalensis_euptilurus,39.6
683,Eubalaena_japonica,41.1
684,Manis_temminckii,37.3
685,Taurotragus_derbianus,39.6
686,Sus_scrofa_taivanus,39.3
687,Pygathrix_nigripes,38.7
688,Microtus_fortis_fortis,41.1
689,Sus_cebifrons,39.2
690,Tscherskia_triton,41.3
691,Hemitragus_jayakari,39.7
692,Cervus_nippon_yakushimae,38.0
693,Rhinolophus_luctus,41.4
694,Chaetophractus_vellerosus,40.2
695,Laonastes_aenigmamus,42.6
696,Oryx_beisa,39.5
697,Hydropotes_inermis_argyropus,35.9
698,Niviventer_excelsior,37.9
699,Rattus_praetor,38.8
